DeviceName,DeviceDateTime,BatteryStatus,CommId,Latitude,Longitude
,,,,,
0-4407230,2022-10-11 09:03:30,LOW,0-4407230,43.07617,5.97319
,,,,,
0-4410119,2022-10-11 09:03:02,GOOD,0-4410119,43.07625,5.97278
,,,,,
0-3153368,2022-10-11 09:02:55,GOOD,0-3153368,43.07926,5.98504
,,,,,
0-4408436,2022-10-11 09:00:46,LOW,0-4408436,43.0789,5.98463
,,,,,
0-4406439,2022-10-11 09:00:22,GOOD,0-4406439,43.08068,6.00068
,,,,,
0-4409666,2022-10-11 08:59:59,GOOD,0-4409666,43.07986,5.99993
,,,,,
0-4407230,2022-10-11 08:58:30,LOW,0-4407230,43.07673,5.97285
,,,,,
0-4410119,2022-10-11 08:58:06,GOOD,0-4410119,43.07682,5.97291
,,,,,
0-3153368,2022-10-11 08:57:57,GOOD,0-3153368,43.07907,5.98487
,,,,,
0-4408436,2022-10-11 08:55:48,LOW,0-4408436,43.0788,5.98459
,,,,,
0-4406439,2022-10-11 08:55:25,GOOD,0-4406439,43.08056,6.00038
,,,,,
0-4409666,2022-10-11 08:54:58,GOOD,0-4409666,43.0799,5.99974
,,,,,
0-4407230,2022-10-11 08:53:25,LOW,0-4407230,43.07714,5.97311
,,,,,
0-4410119,2022-10-11 08:53:02,GOOD,0-4410119,43.07721,5.97315
,,,,,
0-3153368,2022-10-11 08:52:56,GOOD,0-3153368,43.07882,5.98469
,,,,,
0-3152052,2022-10-11 08:51:57,GOOD,0-3152052,43.07745,5.97311
,,,,,
0-4408436,2022-10-11 08:51:25,LOW,0-4408436,43.07869,5.98457
,,,,,
0-4406439,2022-10-11 08:50:26,GOOD,0-4406439,43.08047,6.00004
,,,,,
0-4409666,2022-10-11 08:50:00,GOOD,0-4409666,43.07997,5.99948
,,,,,
0-4407230,2022-10-11 08:48:24,LOW,0-4407230,43.07714,5.97626
,,,,,
0-4410119,2022-10-11 08:48:03,GOOD,0-4410119,43.07711,5.97764
,,,,,
